,Positiveg,POPg_past_ma5
1,1,
2,1,0.020070774465523966
3,1,0.01738902828389144
4,1,0.016906649110095096
5,1,0.017214717586214734
6,1,0.01761128430223957
7,1,0.01759717452815246
8,1,0.01772994531292631
9,1,0.01746605291931127
10,1,0.01717123579180164
11,1,0.017156173844253164
12,0,0.013338652905964477
13,0,0.009366309410560025
14,0,0.005910803034305956
15,0,0.002335328546206794
16,0,-0.0015019767259914607
17,0,-0.003707811754087653
18,0,-0.0053079617246657215
19,0,-0.006955704853922673
20,0,-0.008639245427901154
21,0,-0.01039267734364393
22,0,-0.01161178549818911
23,0,-0.0129749825354182
24,0,-0.014298846961477518
25,0,-0.015183722290798785
26,0,-0.015520600006732898
27,0,-0.014955306040358374
28,0,-0.013840934048525311
29,0,-0.012755455355730926
30,0,-0.012077637803442353
31,0,-0.0118065919731291
32,0,-0.013415517470171468
33,0,-0.016345532550245602
34,0,-0.019473649250540757
35,0,-0.02280118971898206
36,0,-0.026358949426785537
37,0,-0.02648690043725721
38,0,-0.02476226678040192
39,0,-0.02273854894347538
40,0,-0.020773429582753432
41,0,-0.019120621778795588
42,0,-0.017618952456407256
43,0,-0.01584414723999985
44,0,-0.01436356730234647
45,0,-0.012656434248817483
46,0,-0.010320863924108137
47,0,-0.009018148827725314
48,0,-0.008204290047337026
49,0,-0.00802859713490336
50,0,-0.007619597010931911
