,POPg,POPg_past_ma5
1,0.020070774465523966,
2,0.014707282102258912,0.020070774465523966
3,0.01594189076250241,0.01738902828389144
4,0.01813892301457365,0.016906649110095096
5,0.019197551166338922,0.017214717586214734
6,0.020000225595088406,0.01761128430223957
7,0.015371136026128163,0.01759717452815246
8,0.014622428794427211,0.01772994531292631
9,0.01666483737702551,0.01746605291931127
10,0.01912224142859653,0.01717123579180164
11,0.0009126209036449673,0.017156173844253164
12,-0.004490581450894093,0.013338652905964477
13,-0.002655103086843136,0.009366309410560025
14,-0.0012125350634702992,0.005910803034305956
15,-6.428493239474253e-05,0.002335328546206794
16,-0.010116554236835995,-0.0015019767259914607
17,-0.012491331303784436,-0.003707811754087653
18,-0.010893818733127891,-0.0053079617246657215
19,-0.009630237933362706,-0.006955704853922673
20,-0.008831444511108621,-0.008639245427901154
21,-0.01621209500956189,-0.01039267734364393
22,-0.019307316489929893,-0.01161178549818911
23,-0.01751314086342448,-0.0129749825354182
24,-0.014054614579969038,-0.014298846961477518
25,-0.010515833090779192,-0.015183722290798785
26,-0.013385625177689264,-0.015520600006732898
27,-0.013735456530764578,-0.014955306040358374
28,-0.012085747399452562,-0.013840934048525311
29,-0.010665526818526172,-0.012755455355730926
30,-0.009160603939212919,-0.012077637803442353
31,-0.021430252662901106,-0.0118065919731291
32,-0.028385531931135244,-0.013415517470171468
33,-0.027726330900928353,-0.016345532550245602
34,-0.02730322916073269,-0.019473649250540757
35,-0.0269494024782303,-0.02280118971898206
36,-0.022070007715259465,-0.026358949426785537
37,-0.019762363646858794,-0.02648690043725721
38,-0.017607741716295644,-0.02476226678040192
39,-0.017477632357122963,-0.02273854894347538
40,-0.018685363458441073,-0.020773429582753432
41,-0.014561661103317802,-0.019120621778795588
42,-0.01088833756482177,-0.017618952456407256
43,-0.010204842028028738,-0.01584414723999985
44,-0.008941967089478031,-0.01436356730234647
45,-0.007007511834894342,-0.012656434248817483
46,-0.008048085621403689,-0.010320863924108137
47,-0.006819043662880331,-0.009018148827725314
48,-0.009326377465860403,-0.008204290047337026
49,-0.006896966469620791,-0.00802859713490336
50,-0.006720520235994787,-0.007619597010931911
